Well,Content,Concentration,Unnamed: 3
A01,Sample X1,26.112,
A02,Sample X2,25.876,
B01,Sample X25,26.842,
C01,Sample X49,28.702,
C02,Sample X50,27.56,
D01,Sample X73,23.281,
E01,Sample X97,30.361,
E02,Sample X98,28.525,
F01,Sample X121,25.291,
G01,Sample X145,30.1,
G02,Sample X146,28.254,
H01,Sample X169,24.336,
I01,Sample X193,27.302,
I02,Sample X194,27.397,
J01,Sample X217,25.084,
K01,Sample X241,25.772,
K02,Sample X242,24.67,
L01,Sample X265,28.084,
M01,Sample X289,26.943,
M02,Sample X290,25.349,
N01,Sample X313,25.203000000000007,
O01,Sample X337,28.22,
O02,Sample X338,27.017,
P01,Sample X361,26.68,
