Sample Well ID,Sample Concentration,Comment
A07,-0.723,Sample has negative value for concentration
A09,-0.721,Sample has negative value for concentration
A11,-0.809,Sample has negative value for concentration
A13,-0.778,Sample has negative value for concentration
A15,-0.8270000000000001,Sample has negative value for concentration
A17,-0.797,Sample has negative value for concentration
A19,-0.7879999999999999,Sample has negative value for concentration
A21,-0.8109999999999999,Sample has negative value for concentration
A23,-0.888,Sample has negative value for concentration
C07,-0.789,Sample has negative value for concentration
C09,-0.7190000000000001,Sample has negative value for concentration
C11,-0.7340000000000001,Sample has negative value for concentration
C13,-0.795,Sample has negative value for concentration
C15,-0.775,Sample has negative value for concentration
C17,-0.784,Sample has negative value for concentration
C19,-0.8390000000000001,Sample has negative value for concentration
C21,-0.787,Sample has negative value for concentration
C23,-0.8290000000000001,Sample has negative value for concentration
E07,-0.564,Sample has negative value for concentration
E09,-0.76,Sample has negative value for concentration
E11,-0.804,Sample has negative value for concentration
E13,-0.732,Sample has negative value for concentration
E15,-0.7340000000000001,Sample has negative value for concentration
E17,-0.8420000000000001,Sample has negative value for concentration
E19,-0.7829999999999999,Sample has negative value for concentration
E21,-0.828,Sample has negative value for concentration
E23,-0.81,Sample has negative value for concentration
G07,-0.82,Sample has negative value for concentration
G09,-0.738,Sample has negative value for concentration
G11,-0.758,Sample has negative value for concentration
G13,-0.6409999999999999,Sample has negative value for concentration
G15,-0.8029999999999999,Sample has negative value for concentration
G17,-0.742,Sample has negative value for concentration
G19,-0.8079999999999999,Sample has negative value for concentration
G21,-0.807,Sample has negative value for concentration
G23,-0.8140000000000001,Sample has negative value for concentration
I07,-0.721,Sample has negative value for concentration
I09,-0.7659999999999999,Sample has negative value for concentration
I11,-0.794,Sample has negative value for concentration
I13,-0.7909999999999999,Sample has negative value for concentration
I15,-0.777,Sample has negative value for concentration
I17,-0.763,Sample has negative value for concentration
I19,-0.8029999999999999,Sample has negative value for concentration
I21,-0.8240000000000001,Sample has negative value for concentration
I23,-0.8009999999999999,Sample has negative value for concentration
K07,-0.833,Sample has negative value for concentration
K09,-0.727,Sample has negative value for concentration
K11,-0.708,Sample has negative value for concentration
K13,-0.74,Sample has negative value for concentration
K15,-0.762,Sample has negative value for concentration
K17,-0.7909999999999999,Sample has negative value for concentration
K19,-0.7759999999999999,Sample has negative value for concentration
K21,-0.892,Sample has negative value for concentration
K23,-0.7879999999999999,Sample has negative value for concentration
M07,-0.7,Sample has negative value for concentration
M09,-0.703,Sample has negative value for concentration
M11,-0.759,Sample has negative value for concentration
M13,-0.805,Sample has negative value for concentration
M15,-0.728,Sample has negative value for concentration
M17,-0.773,Sample has negative value for concentration
M19,-0.8290000000000001,Sample has negative value for concentration
M21,-0.809,Sample has negative value for concentration
M23,-0.784,Sample has negative value for concentration
O07,-0.722,Sample has negative value for concentration
O09,-0.563,Sample has negative value for concentration
O11,-0.7170000000000001,Sample has negative value for concentration
O13,-0.773,Sample has negative value for concentration
O15,-0.8009999999999999,Sample has negative value for concentration
O17,-0.799,Sample has negative value for concentration
O19,-0.757,Sample has negative value for concentration
O21,-0.7759999999999999,Sample has negative value for concentration
O23,-0.79,Sample has negative value for concentration
