Well,Content,Concentration,Unnamed: 3
A01,Sample X1,10.003,
A03,Sample X17,12.162,
A05,Sample X33,2.474,
C01,Sample X2,9.049,
C03,Sample X18,20.839000000000002,
C05,Sample X34,18.623,
E01,Sample X3,9.261000000000001,
E03,Sample X19,14.809000000000001,
E05,Sample X35,17.53,
G01,Sample X4,14.732999999999999,
G03,Sample X20,16.43,
G05,Sample X36,15.414000000000001,
I01,Sample X5,15.424000000000001,
I03,Sample X21,17.934,
I05,Sample X37,18.285,
K01,Sample X6,10.942,
K03,Sample X22,19.118,
K05,Sample X38,14.077,
M01,Sample X7,3.846,
M03,Sample X23,7.1739999999999995,
M05,Sample X39,3.0189999999999997,
O01,Sample X8,11.55,
O03,Sample X24,13.115,
O05,Sample X40,3.883,
