Well,Content,Concentration,Unnamed: 3
A01,Sample X1,3.426,
A03,Sample X17,3.449,
A05,Sample X33,0.266,
C01,Sample X2,2.8339999999999996,
C03,Sample X18,0.581,
C05,Sample X34,2.251,
E01,Sample X3,2.137,
E03,Sample X19,2.7119999999999997,
E05,Sample X35,0.198,
G01,Sample X4,3.3760000000000003,
G03,Sample X20,1.1079999999999999,
G05,Sample X36,2.765,
I01,Sample X5,0.406,
I03,Sample X21,1.046,
I05,Sample X37,1.185,
K01,Sample X6,1.758,
K03,Sample X22,2.0340000000000003,
K05,Sample X38,2.242,
M01,Sample X7,1.3330000000000002,
M03,Sample X23,1.0190000000000001,
M05,Sample X39,2.085,
O01,Sample X8,2.222,
O03,Sample X24,3.7,
O05,Sample X40,1.35,
