Well,Content,Linear regression fit based on Raw Data (483-14/530-30),
A01,Sample X1,3.369,
A02,Sample X2,1.608,
A03,Sample X3,12.043,
A04,Sample X4,1.147,
A05,Sample X5,22.001,
A06,Sample X6,1.467,
A07,Sample X7,29.780,
A08,Sample X8,3.402,
A09,Sample X9,17.819,
A10,Sample X10,1.079,
A11,Sample X11,22.960,
A12,Sample X12,7.711,
A13,Sample X13,17.310,
A14,Sample X14,3.938,
A15,Sample X15,3.509,
A16,Sample X16,0.890,
A17,Sample X17,20.601,
A18,Sample X18,1.921,
A19,Sample X19,12.794,
A20,Sample X20,3.103,
A21,Sample X21,24.672,
A22,Sample X22,0.967,
A23,Sample X23,0.952,
A24,Sample X24,0.963,
B02,Standard S1,0.037,
B04,Standard S1,0.082,
B06,Standard S1,-0.069,
B08,Standard S1,0.047,
B10,Standard S1,0.169,
B12,Standard S1,0.074,
B14,Standard S1,0.120,
B16,Standard S1,-0.158,
B18,Standard S1,-0.014,
B20,Standard S1,0.067,
B22,Standard S1,-0.151,
B24,Standard S1,-0.204,
C01,Sample X49,4.086,
C02,Sample X50,1.117,
C03,Sample X51,5.047,
C04,Sample X52,3.919,
C05,Sample X53,8.854,
C06,Sample X54,8.782,
C07,Sample X55,15.215,
C08,Sample X56,3.697,
C09,Sample X57,10.595,
C10,Sample X58,1.695,
C11,Sample X59,18.675,
C12,Sample X60,4.534,
C13,Sample X61,28.145,
C14,Sample X62,3.407,
C15,Sample X63,23.718,
C16,Sample X64,0.747,
C17,Sample X65,26.318,
C18,Sample X66,1.187,
C19,Sample X67,29.484,
C20,Sample X68,7.740,
C21,Sample X69,23.330,
C22,Sample X70,1.074,
C23,Sample X71,25.185,
C24,Sample X72,0.599,
D02,Standard S2,52.566,
D04,Standard S2,48.904,
D06,Standard S2,49.170,
D08,Standard S2,50.951,
D10,Standard S2,50.319,
D12,Standard S2,46.099,
D14,Standard S2,54.733,
D16,Standard S2,52.025,
D18,Standard S2,52.458,
D20,Standard S2,42.488,
D22,Standard S2,47.871,
D24,Standard S2,52.416,
E01,Sample X97,1.268,
E02,Sample X98,6.088,
E03,Sample X99,5.846,
E04,Sample X100,2.129,
E05,Sample X101,12.493,
E06,Sample X102,20.006,
E07,Sample X103,37.644,
E08,Sample X104,2.677,
E09,Sample X105,29.792,
E10,Sample X106,2.122,
E11,Sample X107,29.406,
E12,Sample X108,8.881,
E13,Sample X109,32.721,
E14,Sample X110,7.445,
E15,Sample X111,21.650,
E16,Sample X112,1.707,
E17,Sample X113,14.410,
E18,Sample X114,3.218,
E19,Sample X115,14.462,
E20,Sample X116,6.342,
