Sample Well ID,Sample Concentration,Comment
A03,12.043,Volume to be pipetted for this well (13.44102047328102 nL) is smaller than pipetting capacity (25.0 nL). You MUST reprocess the file
A05,22.000999999999998,Volume to be pipetted for this well (7.357402370788752 nL) is smaller than pipetting capacity (25.0 nL). You MUST reprocess the file
A07,29.78,Volume to be pipetted for this well (5.4355342363909775 nL) is smaller than pipetting capacity (25.0 nL). You MUST reprocess the file
A09,17.819000000000003,Volume to be pipetted for this well (9.084135448662849 nL) is smaller than pipetting capacity (25.0 nL). You MUST reprocess the file
A11,22.96,Volume to be pipetted for this well (7.050096235179587 nL) is smaller than pipetting capacity (25.0 nL). You MUST reprocess the file
A12,7.711,Volume to be pipetted for this well (20.99211639991224 nL) is smaller than pipetting capacity (25.0 nL). You MUST reprocess the file
A13,17.31,Volume to be pipetted for this well (9.351254162895628 nL) is smaller than pipetting capacity (25.0 nL). You MUST reprocess the file
A17,20.601,Volume to be pipetted for this well (7.857395736115884 nL) is smaller than pipetting capacity (25.0 nL). You MUST reprocess the file
A19,12.794,Volume to be pipetted for this well (12.652040765962429 nL) is smaller than pipetting capacity (25.0 nL). You MUST reprocess the file
A21,24.671999999999997,Volume to be pipetted for this well (6.5608872227514325 nL) is smaller than pipetting capacity (25.0 nL). You MUST reprocess the file
C05,8.854,Volume to be pipetted for this well (18.2821560379177 nL) is smaller than pipetting capacity (25.0 nL). You MUST reprocess the file
C06,8.782,Volume to be pipetted for this well (18.432043903407347 nL) is smaller than pipetting capacity (25.0 nL). You MUST reprocess the file
C07,15.215,Volume to be pipetted for this well (10.638857020027821 nL) is smaller than pipetting capacity (25.0 nL). You MUST reprocess the file
C09,10.595,Volume to be pipetted for this well (15.27798108161617 nL) is smaller than pipetting capacity (25.0 nL). You MUST reprocess the file
C11,18.675,Volume to be pipetted for this well (8.667748838539401 nL) is smaller than pipetting capacity (25.0 nL). You MUST reprocess the file
C13,28.145,Volume to be pipetted for this well (5.751295418714633 nL) is smaller than pipetting capacity (25.0 nL). You MUST reprocess the file
C15,23.718000000000004,Volume to be pipetted for this well (6.8247832683920775 nL) is smaller than pipetting capacity (25.0 nL). You MUST reprocess the file
